قیمت: 18 میلیارد تومان, اتاق: یک, متر: 84, وضعیت: 2 ساله, منطقه: دولت (کلاهدو... لینک = https://delta.ir/tehran/buy/apartment/detail/79629
****************************************
قیمت: 19.8 میلیارد تومان, اتاق: سه, متر: 135, وضعیت: 19 ساله, منطقه: ظفر لینک = https://delta.ir/tehran/buy/apartment/detail/79628
****************************************
قیمت: 59 میلیارد تومان, اتاق: سه, متر: 200, وضعیت: نوساز, منطقه: فرمانیه لینک = https://delta.ir/tehran/buy/apartment/detail/79627
****************************************
قیمت: 7.5 میلیارد تومان, اتاق: دو, متر: 72, وضعیت: 18 ساله, منطقه: پیچ شمیران لینک = https://delta.ir/tehran/buy/apartment/detail/79626
****************************************
قیمت: 8.6 میلیارد تومان, اتاق: دو, متر: 88, وضعیت: 15 ساله, منطقه: شهران شمالی لینک = https://delta.ir/tehran/buy/apartment/detail/79597
****************************************
قیمت: 16.7 میلیارد تومان, اتاق: دو, متر: 90, وضعیت: 17 ساله, منطقه: قبا لینک = https://delta.ir/tehran/buy/apartment/detail/79593
****************************************
قیمت: 10.9 میلیارد تومان, اتاق: دو, متر: 85, وضعیت: 9 ساله, منطقه: نیروی دریایی لینک = https://delta.ir/tehran/buy/apartment/detail/79588
****************************************
قیمت: 32 میلیارد تومان, اتاق: سه, متر: 145, وضعیت: 4 ساله, منطقه: جردن لینک = https://delta.ir/tehran/buy/apartment/detail/79586
****************************************
قیمت: 21.5 میلیارد تومان, اتاق: سه, متر: 122, وضعیت: نوساز, منطقه: جنت آباد جنو... لینک = https://delta.ir/tehran/buy/apartment/detail/79585
****************************************
قیمت: 15 میلیارد تومان, اتاق: دو, متر: 85, وضعیت: نوساز, منطقه: جنت آباد جنو... لینک = https://delta.ir/tehran/buy/apartment/detail/79583
****************************************
قیمت: 62.1 میلیارد تومان, اتاق: چهار, متر: 270, وضعیت: نوساز, منطقه: جردن لینک = https://delta.ir/tehran/buy/apartment/detail/79575
****************************************
قیمت: 79 میلیارد تومان, اتاق: چهار, متر: 266, وضعیت: نوساز, منطقه: نیاوران لینک = https://delta.ir/tehran/buy/apartment/detail/79568
****************************************
قیمت: 19.3 میلیارد تومان, اتاق: سه, متر: 140, وضعیت: 10 ساله, منطقه: ظفر لینک = https://delta.ir/tehran/buy/apartment/detail/79558
****************************************
قیمت: 35 میلیارد تومان, اتاق: سه, متر: 153, وضعیت: 19 ساله, منطقه: زعفرانیه لینک = https://delta.ir/tehran/buy/apartment/detail/79547
****************************************
قیمت: 6.5 میلیارد تومان, اتاق: دو, متر: 72, وضعیت: 3 ساله, منطقه: پیروزی لینک = https://delta.ir/tehran/buy/apartment/detail/79546
****************************************
قیمت: 22 میلیارد تومان, اتاق: دو, متر: 110, وضعیت: 19 ساله, منطقه: قیطریه لینک = https://delta.ir/tehran/buy/apartment/detail/79545
****************************************
قیمت: 3.8 میلیارد تومان, اتاق: یک, متر: 60, وضعیت: 4 ساله, منطقه: خزانه لینک = https://delta.ir/tehran/buy/apartment/detail/79544
****************************************
قیمت: 4.2 میلیارد تومان, اتاق: یک, متر: 67, وضعیت: 12 ساله, منطقه: آبشار (منطقه... لینک = https://delta.ir/tehran/buy/apartment/detail/79538
****************************************
قیمت: 55 میلیارد تومان, اتاق: سه, متر: 205, وضعیت: 3 ساله, منطقه: نیاوران لینک = https://delta.ir/tehran/buy/apartment/detail/79535
****************************************
قیمت: 35 میلیارد تومان, اتاق: سه, متر: 185, وضعیت: 7 ساله, منطقه: سه راه منظری... لینک = https://delta.ir/tehran/buy/apartment/detail/76632
****************************************
قیمت: 16.9 میلیارد تومان, اتاق: دو, متر: 90, وضعیت: 4 ساله, منطقه: جردن لینک = https://delta.ir/tehran/buy/apartment/detail/73788
****************************************
قیمت: 16.5 میلیارد تومان, اتاق: یک, متر: 115, وضعیت: 20 ساله, منطقه: پاسداران لینک = https://delta.ir/tehran/buy/apartment/detail/79526
****************************************
قیمت: 37.9 میلیارد تومان, اتاق: سه, متر: 190, وضعیت: 7 ساله, منطقه: اقدسیه (منطق... لینک = https://delta.ir/tehran/buy/apartment/detail/79524
****************************************
قیمت: 35 میلیارد تومان, اتاق: دو, متر: 160, وضعیت: نوساز, منطقه: دولت (کلاهدو... لینک = https://delta.ir/tehran/buy/apartment/detail/79518
****************************************
قیمت: 30 میلیارد تومان, اتاق: دو, متر: 120, وضعیت: 14 ساله, منطقه: نیاوران لینک = https://delta.ir/tehran/buy/apartment/detail/79514
****************************************
قیمت: 33 میلیارد تومان, اتاق: دو, متر: 120, وضعیت: 1 ساله, منطقه: زعفرانیه لینک = https://delta.ir/tehran/buy/apartment/detail/79513
****************************************
قیمت: 33.5 میلیارد تومان, اتاق: سه, متر: 140, وضعیت: 14 ساله, منطقه: زعفرانیه لینک = https://delta.ir/tehran/buy/apartment/detail/73150
****************************************
قیمت: 20 میلیارد تومان, اتاق: دو, متر: 90, وضعیت: 12 ساله, منطقه: زعفرانیه لینک = https://delta.ir/tehran/buy/apartment/detail/77039
****************************************
قیمت: 53.6 میلیارد تومان, اتاق: سه, متر: 160, وضعیت: نوساز, منطقه: محمودیه لینک = https://delta.ir/tehran/buy/apartment/detail/77046
****************************************
قیمت: 6.8 میلیارد تومان, اتاق: یک, متر: 57, وضعیت: 1 ساله, منطقه: جواديه تهران... لینک = https://delta.ir/tehran/buy/apartment/detail/79502
****************************************
قیمت: 16.5 میلیارد تومان, اتاق: دو, متر: 105, وضعیت: نوساز, منطقه: دیباجی جنوبی لینک = https://delta.ir/tehran/buy/apartment/detail/79497
****************************************
قیمت: 6.5 میلیارد تومان, اتاق: دو, متر: 65, وضعیت: 18 ساله, منطقه: کوی بیمه لینک = https://delta.ir/tehran/buy/apartment/detail/79494
****************************************
قیمت: 32 میلیارد تومان, اتاق: سه, متر: 186, وضعیت: بیش از ۲۰ سال ساخت, منطقه: جردن لینک = https://delta.ir/tehran/buy/apartment/detail/79487
****************************************
قیمت: 40.9 میلیارد تومان, اتاق: سه, متر: 200, وضعیت: 8 ساله, منطقه: نیاوران لینک = https://delta.ir/tehran/buy/apartment/detail/79486
****************************************
